GSTIN of supplier,Trade/ Legal name of supplier,Invoice details,,,,Place of supply,Supply attract   reverse charge,Rate (%),Taxable value (â‚,Tax amount,,,,"Counterparty GSTR-1/5 filing date 
(DD/MM/YYYY)",ITC available,Reason for non accounting of ITC
,,Invoice number,Invoice type,Invoice date,Invoice value (â‚,,,,,Integrated tax  (â‚,Central tax (â‚,State/UT tax (â‚,Cess  (â‚,,,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901046221,R,05/03/2020,"47,218.88",Gujarat,N,18,"37,496.00",0.00,"3,374.64","3,374.64",0.00,04/05/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901046761,R,09/03/2020,"39,236.18",Gujarat,N,12,"2,655.00",0.00,159.30,159.30,0.00,04/05/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901046761,R,09/03/2020,"39,236.18",Gujarat,N,18,"30,731.00",0.00,"2,765.79","2,765.79",0.00,04/05/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901045923,R,03/03/2020,"27,377.18",Gujarat,N,12,"2,655.00",0.00,159.30,159.30,0.00,04/05/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901045923,R,03/03/2020,"27,377.18",Gujarat,N,18,"20,681.00",0.00,"1,861.29","1,861.29",0.00,04/05/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/67/19-20,R,02/03/2020,"226,560.00",Gujarat,N,18,"192,000.00",0.00,"17,280.00","17,280.00",0.00,28/07/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/68/19-20,R,06/03/2020,"215,232.00",Gujarat,N,18,"182,400.00",0.00,"16,416.00","16,416.00",0.00,28/07/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/70/19-20,R,12/03/2020,"195,408.00",Gujarat,N,18,"165,600.00",0.00,"14,904.00","14,904.00",0.00,28/07/2020,Yes,
24AAIFM1380P1ZY,MOHMAD SALIM AND BROTHERS,159/2019-20,R,04/03/2020,"149,920.00",Gujarat,N,18,"127,050.00",0.00,"11,434.50","11,434.50",0.00,22/06/2020,Yes,
24AAWFR0748J1ZP,ROHAN INFRASTRUCTURE,08,R,17/03/2020,"204,483.00",Gujarat,N,18,"171,835.00",0.00,"15,465.00","15,465.00",0.00,09/07/2020,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,3072,R,31/03/2020,"3,540.00",Gujarat,N,18,"3,000.00",0.00,270.00,270.00,0.00,13/06/2020,Yes,
